,gender,senior,partner,dependents,tenure,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,internet_dsl,internet_fiber,internet_no,contract_month,contract_1_yr,contract_2_yr,payment_bank,payment_credit_card,payment_electronic_check,payment_mailed_check,churn
6723,1,0,0,0,46,1,0,0,0,0,0,0,0,0,20.05,902.0,0,0,1,0,0,1,1,0,0,0,0
6504,1,0,0,0,3,1,0,0,0,0,0,1,0,0,79.25,267.6,0,1,0,1,0,0,0,0,1,0,1
6068,0,0,0,1,12,1,0,0,0,0,0,0,0,1,44.55,480.6,1,0,0,1,0,0,0,0,1,0,1
278,1,0,0,0,14,0,0,0,0,1,1,1,1,1,55.0,771.95,1,0,0,1,0,0,0,0,1,0,0
2970,1,1,0,0,5,1,0,0,0,0,0,0,0,1,70.25,331.9,0,1,0,1,0,0,0,0,0,1,1
6701,1,0,1,1,28,1,0,0,1,1,0,1,1,0,100.35,2799.0,0,1,0,0,1,0,1,0,0,0,0
2480,1,1,1,0,59,1,1,0,0,0,0,1,1,1,93.85,5574.75,0,1,0,1,0,0,1,0,0,0,1
289,1,0,0,0,10,1,0,0,0,0,0,0,0,1,44.85,435.4,1,0,0,1,0,0,0,1,0,0,1
4370,0,0,1,0,21,1,0,1,0,1,1,1,1,0,80.9,1714.95,1,0,0,0,1,0,0,0,0,1,0
5284,0,1,0,0,5,0,0,0,0,0,0,1,1,0,45.7,198.0,1,0,0,1,0,0,0,0,1,0,1
993,0,0,1,1,10,1,1,0,0,0,0,0,0,0,26.1,225.55,0,0,1,0,0,1,0,1,0,0,0
2236,1,1,0,0,5,1,0,0,0,0,0,0,0,1,71.45,371.6,0,1,0,1,0,0,0,0,0,1,0
5438,1,0,1,0,9,1,0,0,1,1,0,0,0,1,79.9,741.7,0,1,0,1,0,0,0,0,1,0,1
39,0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,0,1,0,1,0,0,1,0,0,0,1
4963,1,0,1,0,47,1,0,0,1,1,0,1,1,0,73.6,3522.65,1,0,0,0,0,1,0,0,1,0,0
2754,1,0,0,0,3,0,0,1,0,1,1,0,0,0,41.35,107.25,1,0,0,1,0,0,0,0,0,1,0
5643,1,0,0,0,1,1,0,0,0,0,1,0,0,1,75.9,75.9,0,1,0,1,0,0,0,0,1,0,1
3722,1,0,0,1,23,0,0,1,1,0,1,0,0,0,40.65,947.4,1,0,0,0,1,0,1,0,0,0,0
270,0,1,0,0,16,1,0,0,0,0,1,1,1,1,94.45,1511.2,0,1,0,1,0,0,0,0,1,0,1
3002,1,0,0,0,27,1,0,1,0,1,1,1,1,0,81.7,2212.55,1,0,0,0,1,0,0,0,1,0,0
2883,1,0,1,1,68,1,1,0,0,0,0,0,0,0,25.75,1686.15,0,0,1,0,0,1,0,0,0,1,0
5837,0,0,0,0,2,0,0,0,1,0,0,1,1,0,51.4,96.8,1,0,0,1,0,0,0,0,1,0,0
3128,1,0,0,1,5,1,0,0,0,0,0,0,0,0,20.35,122.0,0,0,1,1,0,0,0,1,0,0,0
5899,1,1,0,0,67,1,1,0,0,0,0,0,0,1,75.7,5060.85,0,1,0,1,0,0,0,0,0,1,0
111,0,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,1,0,0,0,1,0,0,1,0,0,0
1391,1,0,1,0,29,1,1,0,1,1,0,0,0,1,85.8,2440.25,0,1,0,1,0,0,0,0,1,0,0
2600,0,0,0,0,1,1,0,0,0,0,0,0,0,0,70.1,70.1,0,1,0,1,0,0,0,0,1,0,0
220,0,0,0,0,4,1,0,0,0,0,0,0,0,1,70.15,268.35,0,1,0,1,0,0,0,0,1,0,1
5890,0,0,0,0,69,1,1,1,0,1,1,1,1,1,85.35,5897.4,1,0,0,0,0,1,0,1,0,0,0
4071,0,0,0,0,16,0,0,1,0,0,0,1,0,1,38.9,664.4,1,0,0,1,0,0,0,0,1,0,0
5658,1,0,1,0,24,1,1,0,0,0,0,1,1,1,93.0,2248.05,0,1,0,1,0,0,0,0,1,0,0
83,0,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,1,0,1,0,0,1,0,0,0,0
873,0,0,0,0,60,0,0,0,1,0,0,1,1,1,50.8,3027.4,1,0,0,1,0,0,0,0,1,0,1
6524,1,0,0,1,10,1,1,0,0,0,0,1,1,0,95.2,930.4,0,1,0,1,0,0,0,0,1,0,1
4391,0,0,0,0,9,1,0,0,0,0,1,1,0,1,59.5,530.05,1,0,0,1,0,0,1,0,0,0,0
461,0,0,1,0,24,1,0,0,1,0,0,1,1,1,69.45,1614.05,1,0,0,1,0,0,1,0,0,0,0
6188,1,0,0,0,18,1,0,0,0,0,0,0,0,0,20.05,358.5,0,0,1,1,0,0,0,0,0,1,0
551,0,0,1,1,72,1,1,1,1,1,1,1,1,1,115.6,8220.4,0,1,0,0,0,1,1,0,0,0,0
3405,0,0,1,1,64,1,1,1,0,0,1,0,0,1,86.8,5327.25,0,1,0,1,0,0,1,0,0,0,0
2374,1,0,0,0,2,1,0,0,0,0,0,0,0,0,19.4,50.6,0,0,1,1,0,0,0,0,0,1,0
6572,1,0,1,0,68,1,1,1,1,1,1,1,1,1,90.8,6302.85,1,0,0,0,0,1,0,1,0,0,0
2246,0,0,1,1,1,1,1,1,0,1,0,1,1,1,102.45,102.45,0,1,0,1,0,0,0,0,1,0,1
6627,0,0,1,0,59,1,0,0,0,0,0,0,0,0,20.35,1267.0,0,0,1,0,1,0,0,0,0,1,0
3869,1,0,1,0,50,1,1,0,1,0,0,1,1,1,98.25,4858.7,0,1,0,0,1,0,0,0,1,0,0
2450,0,0,1,1,72,1,1,1,0,1,1,1,1,1,110.45,8058.85,0,1,0,0,0,1,1,0,0,0,0
2329,0,0,0,0,57,1,1,0,1,0,1,0,1,0,94.7,5468.95,0,1,0,0,1,0,0,0,1,0,0
6532,0,1,0,0,18,1,0,0,0,0,0,0,0,0,20.35,369.6,0,0,1,0,1,0,1,0,0,0,0
2146,0,0,0,0,62,1,1,1,1,1,1,1,1,1,115.05,7133.45,0,1,0,0,1,0,0,1,0,0,0
6635,1,0,1,0,24,1,0,0,0,0,0,0,0,0,20.1,533.9,0,0,1,0,1,0,0,0,0,1,0
5900,1,0,1,1,37,0,0,1,1,1,0,0,0,0,40.2,1448.8,1,0,0,1,0,0,1,0,0,0,1
6211,0,0,1,1,5,1,0,0,0,0,1,1,0,1,85.75,470.95,0,1,0,1,0,0,0,0,1,0,1
650,0,0,0,0,3,1,0,0,0,0,0,0,0,1,69.55,222.3,0,1,0,1,0,0,1,0,0,0,1
708,1,0,1,0,29,1,0,0,0,1,0,0,0,1,75.3,2263.4,0,1,0,1,0,0,0,1,0,0,0
6874,0,0,1,0,31,1,0,0,0,0,1,0,0,1,49.2,1498.55,1,0,0,1,0,0,0,0,0,1,0
4977,1,0,1,1,24,1,0,0,0,0,0,0,0,1,20.8,469.65,0,0,1,0,1,0,0,1,0,0,0
5784,0,0,1,0,18,1,0,1,0,0,0,0,0,0,74.8,1438.05,0,1,0,1,0,0,0,0,1,0,0
6325,0,0,1,1,17,1,0,1,0,0,1,1,0,0,91.85,1574.45,0,1,0,1,0,0,0,0,1,0,1
6148,0,0,0,0,69,1,1,1,1,0,1,0,0,1,66.9,4577.9,1,0,0,0,0,1,0,0,0,1,0
1424,0,0,0,1,48,1,0,0,0,0,0,0,0,0,19.95,936.7,0,0,1,0,1,0,0,0,0,1,0
1216,1,0,1,1,54,1,0,0,0,0,0,0,0,0,20.4,1090.6,0,0,1,0,0,1,0,1,0,0,0
5842,0,0,0,0,13,1,1,1,0,1,0,1,1,1,78.75,995.35,1,0,0,1,0,0,0,0,1,0,0
1924,0,1,1,1,22,1,1,0,0,0,0,1,0,0,85.35,1961.6,0,1,0,1,0,0,1,0,0,0,0
6108,1,0,0,0,18,0,0,0,0,0,0,0,0,0,25.15,476.8,1,0,0,1,0,0,0,0,0,1,0
4434,0,0,1,0,16,1,1,1,1,1,0,0,0,0,90.7,1374.9,0,1,0,1,0,0,0,0,1,0,0
314,1,0,0,0,5,1,0,0,0,0,0,1,0,1,80.6,415.55,0,1,0,1,0,0,0,0,1,0,1
3817,0,0,0,0,53,1,0,0,0,0,0,0,0,0,20.25,1048.45,0,0,1,0,0,1,0,0,0,1,0
1427,1,1,0,0,44,1,0,0,0,1,0,0,0,0,73.85,3122.4,0,1,0,1,0,0,0,0,1,0,0
6460,1,0,0,0,44,1,0,0,1,0,1,1,1,0,100.55,4398.15,0,1,0,1,0,0,0,0,1,0,1
6328,0,0,0,0,70,1,1,1,1,1,1,1,1,0,89.75,6367.2,1,0,0,0,0,1,0,1,0,0,0
3956,0,0,1,0,6,1,1,0,1,1,0,1,1,1,105.3,545.2,0,1,0,1,0,0,0,0,1,0,1
5694,0,0,1,0,33,1,0,0,0,0,1,0,0,1,51.45,1758.9,1,0,0,0,1,0,0,0,0,1,0
3008,0,0,0,0,11,1,0,0,0,0,0,0,0,0,20.0,211.95,0,0,1,0,1,0,0,0,0,1,0
5828,0,0,1,1,72,1,1,0,0,0,0,0,0,0,24.45,1709.1,0,0,1,0,0,1,1,0,0,0,0
1105,0,0,1,0,9,1,0,0,0,0,0,0,1,1,79.75,769.1,0,1,0,1,0,0,0,0,1,0,0
6530,1,1,1,0,63,0,0,1,0,0,1,0,0,0,36.1,2298.9,1,0,0,0,1,0,1,0,0,0,0
4317,0,0,0,1,3,1,0,0,0,0,0,0,0,1,20.55,57.4,0,0,1,0,1,0,0,1,0,0,0
7042,1,0,0,0,66,1,0,1,0,1,1,1,1,1,105.65,6844.5,0,1,0,0,0,1,1,0,0,0,0
4882,0,0,0,0,66,0,0,1,1,1,1,1,1,1,62.5,4136.4,1,0,0,0,0,1,1,0,0,0,0
684,0,0,0,0,1,1,0,0,0,0,0,0,0,0,71.1,71.1,0,1,0,1,0,0,0,0,0,1,0
5155,0,0,0,0,30,1,0,0,0,0,1,1,1,1,94.4,2638.1,0,1,0,0,1,0,1,0,0,0,0
2765,1,0,0,0,13,1,0,0,0,0,0,0,0,1,70.15,931.75,0,1,0,1,0,0,0,0,1,0,0
5429,0,0,1,1,72,1,1,1,1,1,1,0,1,1,79.5,5661.7,1,0,0,0,0,1,1,0,0,0,0
4561,0,0,1,1,8,1,1,0,1,0,0,0,0,0,55.75,446.8,1,0,0,1,0,0,0,0,1,0,0
2451,1,0,1,1,28,1,1,1,1,0,0,1,1,0,106.1,2847.4,0,1,0,0,1,0,0,0,1,0,1
5834,0,0,1,0,65,1,1,1,0,1,0,1,1,1,105.05,6914.95,0,1,0,1,0,0,0,0,1,0,0
326,0,1,1,0,11,1,0,0,0,0,1,1,0,1,82.9,880.05,0,1,0,1,0,0,0,0,1,0,0
4988,0,0,1,0,26,1,0,0,0,0,0,0,0,0,19.2,459.6,0,0,1,0,1,0,0,0,0,1,0
5889,1,1,1,0,59,0,0,0,1,0,0,1,1,1,50.25,2997.45,1,0,0,1,0,0,0,0,1,0,0
2176,1,0,1,1,67,1,0,0,0,0,0,0,0,1,19.4,1284.2,0,0,1,0,0,1,0,1,0,0,0
3625,0,0,1,0,71,1,0,0,0,0,0,0,0,0,19.85,1379.6,0,0,1,0,0,1,0,1,0,0,0
4894,1,1,1,0,57,1,1,0,1,1,0,1,0,1,71.1,4140.1,1,0,0,0,1,0,0,1,0,0,0
6093,0,0,1,0,71,0,0,0,0,1,1,0,1,1,47.05,3263.6,1,0,0,0,0,1,0,0,1,0,0
6094,1,0,0,0,57,1,0,0,0,0,0,0,0,0,20.55,1252.85,0,0,1,0,0,1,0,1,0,0,0
2787,1,0,1,1,72,1,1,0,0,0,0,0,0,0,26.1,1851.45,0,0,1,0,0,1,0,0,0,1,0
5071,1,0,1,0,1,1,0,0,0,1,0,0,0,0,75.35,75.35,0,1,0,1,0,0,0,1,0,0,0
5755,1,1,1,0,15,1,1,1,0,1,0,1,0,1,96.5,1392.25,0,1,0,1,0,0,0,0,1,0,0
1676,0,0,0,0,4,1,1,1,0,0,0,0,0,1,80.15,319.85,0,1,0,1,0,0,0,0,1,0,0
348,0,0,0,0,23,0,0,0,0,0,0,1,1,1,44.95,996.85,1,0,0,1,0,0,0,0,1,0,0
5138,1,1,0,0,71,1,1,0,1,0,1,1,1,1,106.8,7623.2,0,1,0,0,0,1,0,0,1,0,0
3599,0,0,1,1,45,1,1,1,1,1,1,1,0,0,81.3,3541.1,1,0,0,1,0,0,0,0,0,1,0
4925,1,0,1,0,64,1,1,1,0,1,1,1,1,1,108.5,6880.85,0,1,0,0,1,0,0,0,0,1,0
1626,1,0,0,0,20,1,1,1,0,0,1,0,0,0,59.2,1191.2,1,0,0,1,0,0,1,0,0,0,0
4273,0,0,0,0,31,1,1,0,0,0,1,0,0,1,79.85,2404.15,0,1,0,1,0,0,0,1,0,0,1
3159,1,1,0,0,3,1,1,0,0,0,0,1,1,1,94.85,335.75,0,1,0,1,0,0,0,0,1,0,0
5041,1,0,1,0,20,1,0,0,0,0,0,0,0,0,20.65,417.5,0,0,1,0,1,0,0,0,0,1,0
871,1,0,1,1,57,1,0,0,1,1,0,1,1,1,97.55,5598.0,0,1,0,0,1,0,0,1,0,0,0
4883,1,1,0,0,8,0,0,0,0,1,0,0,0,1,29.4,221.9,1,0,0,1,0,0,0,0,1,0,1
4108,1,0,1,1,33,1,0,0,0,0,0,0,0,1,19.45,600.25,0,0,1,0,1,0,1,0,0,0,0
6145,0,0,1,1,67,0,0,1,1,1,1,1,0,0,54.2,3623.95,1,0,0,0,0,1,0,1,0,0,0
2218,0,0,1,1,71,1,0,1,0,1,1,1,1,1,82.0,5999.85,1,0,0,0,0,1,0,1,0,0,0
5521,1,0,0,0,59,1,0,0,0,1,1,1,0,1,64.65,3735.45,1,0,0,1,0,0,0,0,1,0,0
2121,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.45,20.45,0,0,1,1,0,0,0,0,0,1,0
5985,0,0,1,0,57,1,1,0,1,1,1,1,0,0,74.6,4368.95,1,0,0,0,1,0,1,0,0,0,0
3357,0,0,0,1,1,1,0,0,0,1,0,0,1,0,59.2,59.2,1,0,0,1,0,0,0,0,1,0,1
85,1,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,1,0,1,0,0,0,1,0,0,0
3937,0,0,0,0,4,1,0,0,0,0,0,0,0,1,20.15,68.45,0,0,1,1,0,0,0,1,0,0,0
1877,1,0,0,0,72,1,1,1,1,1,1,1,1,0,88.55,6362.35,1,0,0,0,0,1,0,1,0,0,0
2801,0,0,1,1,62,1,1,0,1,0,1,1,1,1,106.05,6703.5,0,1,0,0,1,0,0,1,0,0,0
5557,0,0,0,0,5,1,0,0,0,0,0,1,0,0,80.2,384.25,0,1,0,1,0,0,0,0,1,0,0
2640,1,0,0,0,22,1,0,0,1,1,1,0,1,1,94.95,2142.8,0,1,0,1,0,0,1,0,0,0,0
6027,1,0,1,1,35,1,1,0,0,0,0,0,0,0,25.45,809.25,0,0,1,0,0,1,1,0,0,0,0
2880,1,0,0,0,12,1,0,0,0,0,0,0,1,1,79.95,1043.4,0,1,0,1,0,0,1,0,0,0,0
3323,0,0,0,1,28,1,0,0,0,0,0,0,0,0,20.25,535.35,0,0,1,1,0,0,0,0,0,1,0
494,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.4,20.4,0,0,1,1,0,0,0,0,0,1,0
2019,1,0,1,0,67,1,1,0,1,1,0,1,1,0,104.1,7040.85,0,1,0,0,1,0,0,0,1,0,1
2525,1,0,1,1,72,1,1,1,1,0,1,0,1,1,97.75,6991.6,0,1,0,0,0,1,0,1,0,0,0
4717,1,0,1,0,38,1,1,1,0,1,1,1,1,1,110.7,4428.6,0,1,0,0,1,0,0,0,1,0,0
3166,1,0,1,0,14,1,0,0,0,0,1,0,0,0,48.8,664.4,1,0,0,1,0,0,1,0,0,0,0
3858,1,0,0,0,47,1,0,1,1,1,1,1,1,1,86.95,4138.9,1,0,0,0,1,0,1,0,0,0,0
1270,1,0,1,1,63,1,1,0,0,0,0,0,0,0,24.65,1574.5,0,0,1,0,0,1,0,1,0,0,0
4174,0,0,0,0,37,0,0,0,0,0,1,0,0,0,28.6,973.55,1,0,0,1,0,0,0,1,0,0,1
3821,0,1,0,0,1,1,1,0,0,0,0,0,0,1,74.2,74.2,0,1,0,1,0,0,0,0,1,0,1
2895,0,0,1,0,37,1,0,0,0,0,0,0,0,1,19.85,717.5,0,0,1,0,1,0,1,0,0,0,0
3680,1,0,1,0,9,0,0,0,0,0,1,1,0,0,40.65,328.95,1,0,0,1,0,0,0,0,0,1,1
5820,1,0,1,0,60,1,0,1,0,0,0,1,0,1,59.8,3561.15,1,0,0,0,1,0,0,0,0,1,0
618,0,0,0,0,57,1,1,1,1,0,1,0,0,1,87.55,4884.85,0,1,0,1,0,0,1,0,0,0,0
6025,0,0,0,1,41,1,0,0,0,0,0,0,0,0,45.2,1841.9,1,0,0,1,0,0,1,0,0,0,0
5185,0,0,0,1,50,1,0,1,0,1,1,1,0,1,70.8,3478.15,1,0,0,0,1,0,0,1,0,0,0
3664,1,0,0,0,4,1,0,0,0,0,1,0,0,1,50.8,202.3,1,0,0,1,0,0,0,0,0,1,0
4531,1,0,1,1,9,1,1,0,0,1,0,0,0,1,79.35,661.25,0,1,0,1,0,0,1,0,0,0,1
3113,1,0,1,0,36,1,1,0,0,0,0,1,1,1,95.4,3474.2,0,1,0,1,0,0,0,0,1,0,0
4180,0,1,0,0,2,0,0,0,0,0,0,0,0,0,24.35,41.85,1,0,0,1,0,0,0,0,1,0,1
1413,1,0,1,1,65,1,1,1,1,1,1,0,0,0,94.55,6078.75,0,1,0,0,0,1,0,1,0,0,0
2201,0,0,0,0,36,1,0,1,1,1,1,1,1,0,85.85,3003.55,1,0,0,0,1,0,1,0,0,0,0
2001,0,0,0,0,5,1,0,0,0,0,0,0,0,0,20.15,117.95,0,0,1,1,0,0,0,0,0,1,0
5252,1,1,1,0,71,1,1,1,1,1,0,1,1,1,107.5,7713.55,0,1,0,1,0,0,0,0,1,0,0
869,1,0,0,1,3,1,1,0,0,0,0,0,0,1,26.4,121.25,0,0,1,0,0,1,0,0,0,1,0
2358,0,0,1,0,55,1,0,0,0,0,0,0,0,0,19.7,1140.05,0,0,1,0,1,0,0,0,1,0,0
2006,1,0,0,0,5,1,1,0,0,0,0,0,0,0,47.15,223.15,1,0,0,1,0,0,0,0,1,0,1
3090,1,0,0,0,1,1,0,0,0,0,0,1,0,1,53.5,53.5,1,0,0,1,0,0,0,0,0,1,1
4472,1,0,1,1,68,1,0,1,0,1,0,0,0,0,80.35,5375.15,0,1,0,0,0,1,0,1,0,0,0
4874,0,0,0,0,38,1,0,1,1,1,0,0,0,1,83.9,3233.6,0,1,0,1,0,0,0,1,0,0,1
356,0,1,0,0,16,1,1,1,0,0,0,0,0,1,54.1,889.0,1,0,0,1,0,0,0,0,1,0,0
1162,0,0,0,0,67,1,0,1,0,1,1,0,1,1,72.35,4991.5,1,0,0,0,1,0,1,0,0,0,0
5347,1,0,1,0,72,1,1,1,1,1,1,1,1,1,116.95,8594.4,0,1,0,0,0,1,0,1,0,0,0
3064,0,0,0,0,21,1,0,0,0,0,0,0,0,1,68.65,1493.2,0,1,0,1,0,0,0,0,1,0,0
3125,1,0,0,0,4,1,0,0,0,0,0,0,0,0,19.0,78.9,0,0,1,1,0,0,0,0,0,1,0
3492,0,0,0,0,3,0,0,0,1,0,0,0,0,0,29.2,98.5,1,0,0,1,0,0,0,0,0,1,0
5484,1,0,1,1,69,1,1,0,0,0,1,1,1,1,99.35,6856.45,0,1,0,0,0,1,0,0,1,0,0
3749,1,1,0,0,2,1,1,0,0,0,0,1,1,1,93.85,196.75,0,1,0,1,0,0,0,0,1,0,1
6945,1,0,1,1,70,1,1,0,1,0,0,1,1,0,98.3,6859.5,0,1,0,0,0,1,1,0,0,0,1
1890,0,0,1,1,1,1,0,0,0,0,0,0,0,1,21.0,21.0,0,0,1,1,0,0,0,0,1,0,1
579,1,0,0,0,2,1,0,0,0,0,0,0,0,1,19.65,38.8,0,0,1,1,0,0,0,0,0,1,0
2319,1,0,1,1,11,1,0,0,0,0,0,1,1,0,90.6,1020.2,0,1,0,1,0,0,0,0,1,0,0
5628,0,0,0,0,13,1,1,1,1,0,0,1,0,1,96.65,1244.5,0,1,0,1,0,0,0,0,1,0,1
1691,1,0,1,1,60,1,0,0,0,0,0,0,0,0,19.65,1161.75,0,0,1,0,0,1,0,1,0,0,0
862,1,1,1,0,20,1,0,0,1,0,0,0,0,1,73.65,1463.5,0,1,0,1,0,0,0,0,1,0,1
4765,1,0,0,0,37,0,0,0,0,0,0,1,0,0,35.8,1316.9,1,0,0,0,0,1,0,1,0,0,0
4522,1,0,1,0,30,1,0,0,0,0,0,0,0,0,20.7,587.1,0,0,1,0,1,0,0,1,0,0,0
2380,1,0,1,1,60,1,1,0,1,0,1,1,1,1,103.75,5969.95,0,1,0,1,0,0,1,0,0,0,0
2378,0,0,1,0,35,1,0,0,0,0,0,0,0,1,70.3,2416.55,0,1,0,1,0,0,0,0,1,0,1
4960,1,1,0,0,50,1,1,0,0,0,0,1,1,1,95.7,4816.7,0,1,0,1,0,0,0,0,1,0,1
5451,0,0,1,0,71,1,1,1,1,0,0,1,0,0,95.65,6856.95,0,1,0,0,1,0,0,0,0,1,0
4625,0,1,0,0,8,1,0,0,0,1,0,0,0,1,74.05,600.15,0,1,0,1,0,0,1,0,0,0,0
1116,0,0,0,0,38,1,1,0,0,0,0,0,0,1,24.25,914.4,0,0,1,0,1,0,0,0,1,0,0
1541,1,0,0,0,72,1,0,0,0,0,0,0,0,0,19.85,1434.1,0,0,1,0,0,1,1,0,0,0,0
6960,0,1,1,0,42,1,1,0,1,1,0,1,0,1,95.55,3930.6,0,1,0,1,0,0,0,0,1,0,0
5416,0,0,1,1,57,1,0,0,1,0,0,1,1,1,95.0,5535.8,0,1,0,0,1,0,0,0,1,0,0
6478,0,0,1,0,60,1,1,0,1,1,1,1,1,1,110.8,6640.7,0,1,0,0,0,1,0,1,0,0,0
3649,1,0,1,1,71,1,1,0,0,0,0,0,0,0,25.35,1847.55,0,0,1,0,0,1,0,1,0,0,0
4751,1,0,0,0,11,1,1,0,0,0,0,0,0,0,23.15,245.2,0,0,1,1,0,0,0,1,0,0,1
5623,1,0,0,0,40,1,0,0,0,0,1,0,0,1,51.1,2092.9,1,0,0,1,0,0,0,0,1,0,0
3297,0,0,1,0,42,1,1,1,0,1,1,1,1,0,84.35,3571.6,1,0,0,0,0,1,0,1,0,0,0
4706,0,0,0,0,1,1,0,0,0,0,0,0,0,1,44.45,44.45,1,0,0,1,0,0,0,0,0,1,1
6167,1,0,1,1,47,1,0,1,0,1,0,0,1,0,90.05,4137.2,0,1,0,1,0,0,0,0,1,0,0
2500,1,0,1,1,50,1,0,1,0,0,1,1,1,0,75.5,4025.6,1,0,0,0,1,0,0,0,1,0,0
6220,1,0,1,1,10,0,0,1,1,1,1,0,1,0,53.7,521.0,1,0,0,0,0,1,0,1,0,0,0
6229,1,0,1,0,72,1,1,0,1,1,1,1,1,1,85.45,6227.5,1,0,0,0,0,1,0,1,0,0,0
6239,1,0,1,0,72,1,1,0,1,0,0,1,1,1,99.4,7285.7,0,1,0,0,0,1,0,0,1,0,0
6247,1,0,0,0,60,1,1,0,0,1,0,1,0,1,89.55,5231.2,0,1,0,0,0,1,0,0,1,0,0
6930,0,0,1,0,3,1,1,0,0,0,0,0,0,1,75.15,216.75,0,1,0,1,0,0,0,1,0,0,1
6538,1,0,0,0,2,1,0,0,0,1,1,0,0,1,79.85,152.45,0,1,0,1,0,0,0,0,1,0,1
5300,0,0,1,1,1,1,0,0,0,0,0,1,0,1,80.05,80.05,0,1,0,1,0,0,0,0,0,1,1
6715,0,0,0,0,11,1,1,0,0,1,0,1,0,1,89.2,990.3,0,1,0,1,0,0,0,0,1,0,0
6711,0,0,1,1,49,1,1,0,1,0,0,1,1,1,98.35,4889.2,0,1,0,1,0,0,0,0,1,0,0
3409,0,1,1,0,70,1,1,1,1,1,1,1,1,1,113.65,7714.65,0,1,0,0,0,1,0,0,1,0,0
6726,0,1,0,0,2,1,0,0,0,0,0,0,0,0,70.75,154.85,0,1,0,1,0,0,0,0,1,0,1
5231,1,1,1,0,16,1,1,0,0,1,0,1,1,1,98.75,1587.55,0,1,0,1,0,0,0,0,1,0,1
4677,1,0,1,0,10,1,0,0,1,0,1,1,1,1,99.85,990.9,0,1,0,1,0,0,0,0,1,0,1
6753,0,0,1,1,56,1,1,1,1,0,0,0,1,0,68.75,3815.4,1,0,0,0,1,0,1,0,0,0,0
2052,0,0,0,0,48,1,1,0,0,1,1,1,1,1,103.85,4946.05,0,1,0,1,0,0,0,0,1,0,0
1776,1,1,1,0,72,1,1,0,0,0,0,0,0,1,25.0,1802.55,0,0,1,0,0,1,1,0,0,0,0
3499,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.9,20.9,0,0,1,1,0,0,0,0,0,1,1
4305,0,0,1,0,29,1,0,0,0,0,0,0,0,1,19.55,521.8,0,0,1,0,0,1,0,0,0,1,0
2536,1,0,0,0,25,1,1,0,0,0,0,0,0,0,25.3,676.35,0,0,1,0,1,0,1,0,0,0,1
5054,0,0,0,0,68,1,0,1,0,1,0,0,0,1,54.45,3674.95,1,0,0,0,1,0,0,1,0,0,0
3731,1,0,0,0,2,1,0,0,0,0,0,0,0,1,69.8,146.65,0,1,0,1,0,0,0,0,1,0,0
1592,0,0,1,1,42,1,0,0,0,0,0,1,0,1,77.95,3384.0,0,1,0,1,0,0,0,1,0,0,1
1723,0,0,1,1,6,1,0,0,0,0,0,0,0,0,20.1,100.35,0,0,1,0,0,1,0,0,0,1,0
5510,1,0,0,0,18,1,0,0,1,1,0,1,1,0,101.3,1794.65,0,1,0,1,0,0,0,1,0,0,0
2611,1,0,1,0,10,1,0,0,0,0,0,0,0,1,70.3,738.2,0,1,0,1,0,0,0,0,1,0,1
4786,1,0,0,0,72,1,1,0,1,1,0,1,1,1,103.65,7634.8,0,1,0,0,0,1,0,0,1,0,0
490,1,0,1,1,63,1,1,0,1,1,0,1,1,1,104.8,6597.25,0,1,0,0,0,1,1,0,0,0,0
5921,0,0,0,0,27,1,0,0,1,1,1,1,1,0,78.2,2078.95,1,0,0,0,1,0,0,0,0,1,0
2910,0,0,1,1,35,1,1,0,0,0,0,0,0,1,25.4,949.8,0,0,1,0,0,1,0,1,0,0,0
1006,0,0,0,0,18,1,1,0,0,0,1,0,1,1,90.1,1612.75,0,1,0,1,0,0,0,0,1,0,1
4230,1,0,0,0,11,1,0,1,0,0,0,0,0,1,73.5,791.75,0,1,0,1,0,0,0,0,1,0,1
2503,1,0,1,1,44,1,0,0,0,0,0,0,0,0,20.6,926.0,0,0,1,0,1,0,1,0,0,0,0
4436,0,0,0,1,19,1,0,1,1,1,0,0,0,1,60.6,1297.8,1,0,0,1,0,0,0,0,1,0,0
2314,0,0,1,1,72,1,1,1,1,1,1,1,1,1,93.25,6688.95,1,0,0,0,0,1,1,0,0,0,0
2554,0,0,0,0,18,1,0,0,0,1,0,0,0,1,50.0,892.7,1,0,0,1,0,0,0,0,0,1,0
1417,0,1,0,0,18,1,0,0,1,0,0,0,0,1,49.85,865.75,1,0,0,1,0,0,0,1,0,0,0
3096,0,0,1,0,71,0,0,0,1,1,1,1,1,1,61.4,4310.35,1,0,0,0,0,1,0,1,0,0,0
25,0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,1,0,0,1,0,0,1,0,0,0,0
2409,1,0,1,1,28,0,0,0,1,1,1,1,1,1,60.0,1682.05,1,0,0,0,1,0,0,1,0,0,0
